Município;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out
210043 Alto Alegre do Maranhão;48;48;48;48;48;48;48;48;48;48
210047 Alto Alegre do Pindaré;34;34;34;34;28;28;28;28;28;28
210050 Alto Parnaíba;22;22;22;22;22;22;22;22;22;22
210055 Amapá do Maranhão;11;11;11;11;11;11;11;11;11;11
210060 Amarante do Maranhão;85;85;85;85;85;85;85;85;85;85
210070 Anajatuba;27;27;27;27;27;27;27;27;27;27
210080 Anapurus;16;16;16;16;16;16;16;16;16;16
210083 Apicum-Açu;15;15;15;15;15;15;15;15;15;15
210087 Araguanã;17;17;17;17;17;17;17;17;17;17
210090 Araioses;117;117;117;117;117;117;117;117;117;117
210095 Arame;58;58;58;58;58;58;58;58;58;58
210100 Arari;48;48;48;48;48;48;48;48;48;48
210110 Axixá;25;25;25;25;25;25;25;25;25;25
210120 Bacabal;234;234;234;259;259;259;259;259;259;259
210125 Bacabeira;28;28;28;28;28;28;28;28;28;28
210130 Bacuri;23;23;23;23;23;23;23;23;23;23
210140 Balsas;165;165;215;215;215;260;260;260;260;260
210150 Barão de Grajaú;31;31;31;31;31;31;31;31;31;31
210160 Barra do Corda;153;153;153;153;153;153;153;153;153;153
210170 Barreirinhas;52;52;52;52;52;52;52;52;52;52
210177 Bela Vista do Maranhão;15;15;16;16;16;16;16;16;18;18
210173 Belágua;12;12;12;12;-;-;-;-;-;-
210180 Benedito Leite;20;20;20;20;20;20;20;20;20;20
210190 Bequimão;18;18;18;18;18;18;18;18;18;18
210193 Bernardo do Mearim;15;15;15;15;15;15;15;15;15;15
210197 Boa Vista do Gurupi;15;15;15;15;15;15;15;15;15;15
210200 Bom Jardim;36;36;36;36;36;36;36;36;36;36
210203 Bom Jesus das Selvas;25;25;25;22;22;22;22;22;22;22
210210 Brejo;37;37;37;37;37;37;37;37;37;37
210220 Buriti;26;26;42;42;42;42;42;42;42;42
210230 Buriti Bravo;44;44;44;44;44;44;44;44;44;44
210232 Buriticupu;84;84;84;84;84;84;84;84;84;84
210240 Cajapió;19;19;19;19;19;19;19;19;19;19
210250 Cajari;20;20;20;20;20;20;20;20;20;20
210255 Campestre do Maranhão;21;21;21;21;21;21;21;21;21;21
210260 Cândido Mendes;10;10;10;10;10;10;10;10;10;10
210270 Cantanhede;59;59;59;59;59;59;59;59;59;59
210275 Capinzal do Norte;13;13;13;13;13;13;13;13;13;13
210280 Carolina;30;30;30;30;30;30;30;30;30;30
210290 Carutapera;38;38;38;38;38;38;38;38;34;34
210300 Caxias;314;314;314;314;314;347;360;360;360;360
210310 Cedral;15;15;15;15;15;15;15;15;15;15
210312 Central do Maranhão;15;15;15;15;15;15;15;15;15;15
210320 Chapadinha;157;157;157;125;125;157;165;165;165;165
210325 Cidelândia;21;21;21;21;21;21;21;21;21;21
210330 Codó;100;100;100;95;84;84;84;84;84;84
210340 Coelho Neto;120;120;120;120;120;120;120;120;120;120
210350 Colinas;90;90;90;90;93;93;93;93;93;94
210355 Conceição do Lago-Açu;15;15;15;15;15;15;15;15;15;15
210360 Coroatá;76;76;76;76;76;76;76;76;76;76
210370 Cururupu;109;109;109;109;109;109;109;109;109;109
210375 Davinópolis;14;14;14;14;14;14;14;14;14;14
210380 Dom Pedro;29;29;29;29;29;29;29;29;29;29
210390 Duque Bacelar;26;26;26;26;26;26;26;26;26;26
210400 Esperantinópolis;44;44;44;44;44;44;44;44;44;44
210405 Estreito;61;61;61;61;61;61;61;61;61;61
210407 Feira Nova do Maranhão;20;20;20;20;20;42;42;42;42;42
210408 Fernando Falcão;18;18;18;18;18;18;18;18;18;18
210409 Formosa da Serra Negra;13;13;13;13;13;13;13;13;13;13
210410 Fortaleza dos Nogueiras;31;31;31;31;31;31;31;31;31;31
210420 Fortuna;17;17;17;17;17;17;17;17;17;17
210440 Gonçalves Dias;29;29;29;29;29;29;29;29;29;29
210450 Governador Archer;24;24;24;24;24;24;24;24;24;24
210455 Governador Edison Lobão;23;23;31;31;31;31;31;31;31;31
210460 Governador Eugênio Barros;30;30;30;30;30;30;30;30;30;30
210462 Governador Luiz Rocha;20;20;20;20;20;20;20;20;20;20
210465 Governador Newton Bello;19;19;19;19;19;19;19;19;19;19
210467 Governador Nunes Freire;204;204;204;204;204;204;204;204;204;204
210470 Graça Aranha;18;18;18;18;18;18;18;18;18;18
